LAT,LON,ALT,NAM,IKO,NA3,USE,USEdesc
31.998528,21.191778,243,Al Khadim,HL,LY30852,999,Other
31.975668,20.026861,25,Qaryat Al Karmal,HL,LY45491,999,Other
31.861029,23.903667,158,Gamal Abd El Nasser,HL,LY59356,8,Military
31.063334,16.594999,81,Sirte,HLGD,LY32232,8,Military
30.870194,20.0755,4,Zuetina,HL,LY40579,999,Other
30.766111,20.190277,15,Agedabia,HLAG,LY26526,999,Other
30.643028,18.320806,30,Matratin,HL,LY89428,999,Other
30.500029,18.527166,12,Ras Lanuf Oil,HLNF,LY86814,999,Other
30.378139,19.576445,15,Marsa Brega,HLMB,LY48441,999,Other
44.225834,43.081943,320,Mineralnyye Vody,URMM,RS96564,49,Civilian/Public
43.513332,43.638332,445,Nalchik,URMN,RS96565,49,Civilian/Public
43.445831,39.947498,27,Sochi,URSS,RS08294,49,Civilian/Public
43.205002,44.608334,509,Beslan,URMO,RS96566,49,Civilian/Public
42.022778,35.080555,7,Sinop,LTCM,TU74110,999,Other
41.671665,44.955002,494,Lochini,UGGG,GG53029,49,Civilian/Public
41.462723,44.781334,397,Tbilisi Marneuli,UG,GG00001,8,Military
41.313999,33.795918,1072,Kastamonu,LTAL,TU52334,999,Other
41.265556,36.549168,5,Carsamba,LTFH,TU00007,999,Other
41.254612,31.415001,4,Erdemir,LTAX,TU18604,999,Other
40.994251,39.790249,31,Trabzon,LTCG,TU18139,49,Civilian/Public
40.830307,35.520249,543,Merzifon,LTAP,TU81206,8,Military
40.743332,43.854999,1524,Shirak,UGEL,AM65747,49,Civilian/Public
40.735279,30.083332,53,Topel,LTBQ,TU88308,8,Military
40.562222,43.115002,1794,Kars,LTCF,TU44301,999,Other
