FEATURE2,NAME,POP_2010,LATITUDE,LONGITUDE
-999,Polkton,3375,35.0076546,-80.2008947
-999,South Wadesboro,-999,34.9562653,-80.0772824
County Seat,Wadesboro,5813,34.9682097,-80.0767266
-999,Lansing,158,36.4992896,-81.5109405
-999,West Jefferson,1299,36.4037364,-81.4928829
-999,Glendale Springs,-999,36.345128,-81.3803761
-999,Warrensville,-999,36.4606793,-81.5189957
County Seat,Jefferson,1611,36.420403,-81.4734376
-999,Banner Elk,1028,36.1631818,-81.8715019
-999,Crossnore,192,36.0217938,-81.9295579
-999,Elk Park,452,36.1573464,-81.9781722
-999,Seven Devils,192,36.1581825,-81.8353895
-999,Sugar Mountain,198,36.127349,-81.8601122
-999,Linville,-999,36.0665163,-81.8703896
-999,Spear,-999,36.022347,-82.0237284
County Seat,Newland,698,36.0873484,-81.9273363
-999,Aurora,520,35.3054469,-76.788543
-999,Bath,249,35.4771094,-76.8116045
-999,Belhaven,1688,35.5401653,-76.6229874
-999,Chocowinity,820,35.5126631,-77.1005091
-999,Washington Park,451,35.532663,-77.0324509
-999,Pantego,179,35.5890535,-76.6621569
-999,Bayview,346,35.4368328,-76.7918801
-999,Pinetown,155,35.6104408,-76.8613327
-999,Pike Road,-999,35.6829419,-76.6274363
-999,Pamlico Beach,-999,35.3926667,-76.6004843
County Seat,Washington,9744,35.5465517,-77.0521742
-999,Askewville,241,36.1098801,-76.9399544
-999,Aulander,895,36.2296005,-77.1141282
-999,Kelford,251,36.1796007,-77.2235757
-999,Lewiston Woodville,549,36.1229347,-77.1766291
-999,Colerain,204,36.201268,-76.7685616
-999,Powellsville,276,36.225712,-76.9330114
-999,Roxobel,240,36.2029338,-77.2452433
County Seat,Windsor,3630,35.9984925,-76.9460641
-999,Butters,294,34.5604454,-78.8483571
-999,White Oak,338,34.7496138,-78.7080728
-999,Kelly,544,34.4662797,-78.3244457
-999,Bladenboro,1750,34.5387799,-78.7875209
-999,Clarkton,837,34.4873922,-78.6561257
-999,Dublin,338,34.6568361,-78.726407
-999,East Arcadia,487,34.382113,-78.3233353
-999,Tar Heel,117,34.7332237,-78.7900213
-999,White Lake,802,34.640449,-78.4838952
-999,Abbottsburg,-999,34.517114,-78.7250179
-999,Jerome,-999,34.8426681,-78.7339078
County Seat,Elizabethtown,3583,34.6293372,-78.6052899
-999,Boiling Spring Lakes,5372,34.0304501,-78.0672141
-999,Northwest,735,34.3129464,-78.1611077
-999,Belville,1936,34.2307256,-77.9658222
-999,Calabash,1786,33.8907278,-78.5683446
-999,Carolina Shores,3048,33.9010054,-78.5805673
-999,Southport,2833,33.921563,-78.0202677
-999,Holden Beach,575,33.9135061,-78.3038892
-999,Leland,13527,34.2562806,-78.0447143
-999,Caswell Beach,398,33.8960076,-78.051102
-999,Sunset Beach,3572,33.880728,-78.5122311
-999,Varnamtown,541,33.9357283,-78.2486091
-999,Navassa,1505,34.2554474,-78.0074906
-999,Oak Island,6783,33.9165623,-78.161106
-999,Ocean Isle Beach,550,33.8943393,-78.426672
-999,Sandy Creek,260,34.2871132,-78.1508296
-999,Shallotte,3675,33.9732275,-78.3858371
-999,Saint James,3165,33.9293402,-78.1163822
-999,Bald Head Island,158,33.8618418,-77.9944332
-999,Freeland,-999,34.1071144,-78.5372326
-999,Longwood,-999,34.0035047,-78.5422326
